Aishe Code,University Name,State,District,Web Url,University Type,Year Of Establishment,Location,Address
U-0976,Central University Of Andhra Pradesh,Andhra Pradesh,Ananthapuramu,https://cuap.ac.in,Central University,2018,Rural,"Central University of Andhra Pradesh, JNTU Incubation Centre, JNTU Road, Chinmaya Nagar"
U-0020,"Koneru Lakshmaiah Education Foundation,Guntur",Andhra Pradesh,Guntur,www.kluniversity.in,Deemed University-Private,1980,Rural,"GREEN FIELDS, , VADDESWARAM VILLAGE"
U-0827,"Indian Institute Of Science Education & Research (Iiser), Tirupati",Andhra Pradesh,Chittoor,www.iisertirupati.ac.in,Institute of National Importance,2015,Rural,"C/o Sri Rama Engineering College, Karakambadi Road, Renigunta, Tirupati"
U-0021,"Krishna University, Machhlipattanam",Andhra Pradesh,Krishna,www.kru.ac.in,State Public University,2008,Rural,"Rudravaram, , MACHILIPATNAM"
U-0855,"National Institute Of Technology, Andhra Pradesh",Andhra Pradesh,West Godavari,www.nitandhra.ac.in,Institute of National Importance,2015,Urban,"Near National Highway No.16, kondrupolu, TADEPALLIGUDEM"
U-0004,"Acharya Ng Ranga Agricultural University, Guntur",Andhra Pradesh,Guntur,www.angrau.ac.in,State Public University,1964,Rural,"Administrative Office, Lam, Guntur-522034, Guntur"
U-0945,Vellore Institute Of Technology - Andhra Pradesh,Andhra Pradesh,Guntur,www.vitap.ac.in,State Private University,2017,Rural,"BESIDE AP GOVERNMENT SECRETARIAT, INAVOLU, AMARAVATI"
U-0844,"Indian Institute Of Technology, Tirupati",Andhra Pradesh,Chittoor,http://iittp.ac.in,Institute of National Importance,2015,Rural,"Yerpedu - Venkatagiri Road, Yerpedu Post, Tirupati"
U-0003,"Acharya Nagarjuna University, Guntur",Andhra Pradesh,Guntur,www.anu.ac.in,State Public University,1976,Rural,"Nagarjunanagar-522510, Guntur, Guntur"
U-0002,Damodaram Sanjivayya National Law University,Andhra Pradesh,Visakhapatnam,https://dsnlu.ac.in,State Public University,2008,Urban,"Nyayaprastha, Sabbavaram, VISAKHAPATNAM"
U-0944,Indian Institute Of Petroleum & Energy,Andhra Pradesh,Visakhapatnam,www.iipe.ac.in,Institute of National Importance,2016,Urban,"MAIN BUILDING, IInd FLOOR, AU COLLEGE OF ENGINEERING(A), ANDHRA UNIVERSITY, VISAKHAPATNAM"
U-1310,The Apollo University,Andhra Pradesh,Chittoor,https://apollouniversity.edu.in/,State Private University,2021,Urban,"The Apollo Knowledge City Campus, Saketa, Murukambattu"
U-0001,Dr Y S R Horticulture University,Andhra Pradesh,West Godavari,https://drysrhu.ap.gov.in,State Public University,2007,Rural,"P.O.Box no.7, Venkataramannagdem, Tadepalligudem"
U-0036,"Sri Venkateswara Institute Of Medical Sciences, Tirupathi",Andhra Pradesh,Chittoor,https://svimstpt.ap.nic.in,Institute under State Legislature Act,1993,Urban,"Alipiri Road, Director-cum-Vice Chancellor, SVIMS, Tirupati, Tirupati"
U-0035,Sri Sathya Sai Institute Of Higher Learning,Andhra Pradesh,Sri Sathya Sai,www.sssihl.edu.in,Deemed University-Private,1981,Urban,"Vidyagiri, 5R77+32M Prasanthi Nilayam, Puttaparthi, Andhra Pradesh 515134"
